"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-10",,,"55","62","50"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-11",,,"64","80","49"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-12",,,"72","85","59"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-13",,,"74","90","62"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-14",,,"73","86","64"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-15",,,"72","84","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-16",,,"73","86","61"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-17",,,"62","77","53"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-18",,,"58","73","50"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-19",,,"63","79","47"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-20",,,"65","81","52"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-21",,,"68","83","54"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-22",,,"74","90","61"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-23",,,"74","86","62"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-24",,,"68","80","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-25",,,"71","86","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-26",,,"68","79","63"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-27",,,"71","89","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-28",,,"73","88","62"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-29",,,"76","91","64"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-30",,,"78","94","67"
"USR0000IMOD","MOODY IDAHO, ID US","2000-07-31",,,"79","94","68"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-01",,,"77","90","69"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-02",,,"75","87","63"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-03",,,"69","84","59"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-04",,,"64","78","55"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-05",,,"65","80","52"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-06",,,"69","83","55"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-07",,,"71","83","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-08",,,"74","90","61"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-09",,,"74","88","63"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-10",,,"72","85","61"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-11",,,"67","75","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-12",,,"68","84","53"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-13",,,"71","83","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-14",,,"69","84","56"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-15",,,"72","86","62"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-16",,,"69","84","59"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-17",,,"67","85","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-18",,,"62","72","52"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-19",,,"65","80","52"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-20",,,"60","71","52"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-21",,,"61","76","43"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-22",,,"67","87","53"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-23",,,"70","85","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-24",,,"68","80","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-25",,,"70","84","57"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-26",,,"65","72","58"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-27",,,"65","79","54"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-28",,,"65","78","56"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-29",,,"65","79","53"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-30",,,"58","62","53"
"USR0000IMOD","MOODY IDAHO, ID US","2000-08-31",,,"54","64","49"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-01",,,"52","65","40"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-02",,,"47","57","40"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-03",,,"53","70","38"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-04",,,"61","76","43"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-05",,,"54","68","40"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-06",,,"43","55","37"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-07",,,"52","68","35"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-08",,,"60","74","48"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-09",,,"49","58","37"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-10",,,"55","68","41"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-11",,,"55","67","44"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-12",,,"60","73","45"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-13",,,"66","80","54"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-14",,,"69","86","56"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-15",,,"72","87","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-16",,,"72","86","60"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-17",,,"63","78","50"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-18",,,"58","70","46"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-19",,,"53","65","41"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-20",,,"48","64","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-21",,,"43","51","30"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-22",,,"29","34","25"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-23",,,"31","37","25"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-24",,,"37","52","24"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-25",,,"45","63","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-26",,,"50","67","36"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-27",,,"55","71","42"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-28",,,"60","77","48"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-29",,,"58","68","48"
"USR0000IMOD","MOODY IDAHO, ID US","2000-09-30",,,"54","64","45"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-01",,,"53","59","46"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-02",,,"48","60","42"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-03",,,"45","57","35"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-04",,,"44","56","35"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-05",,,"39","54","28"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-06",,,"43","60","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-07",,,"45","63","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-08",,,"48","67","36"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-09",,,"54","72","41"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-10",,,"45","54","35"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-11",,,"35","38","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-12",,,"33","36","31"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-13",,,"33","34","31"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-14",,,"34","41","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-15",,,"39","50","33"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-16",,,"42","54","33"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-17",,,"47","62","34"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-18",,,"51","64","42"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-19",,,"47","57","41"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-20",,,"47","61","34"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-21",,,"37","46","28"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-22",,,"35","52","27"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-23",,,"43","59","33"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-24",,,"41","45","39"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-25",,,"40","51","36"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-26",,,"41","51","33"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-27",,,"40","47","36"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-28",,,"39","43","36"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-29",,,"38","42","34"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-30",,,"36","42","32"
"USR0000IMOD","MOODY IDAHO, ID US","2000-10-31",,,"33","39","30"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-01",,,"25","32","19"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-02",,,"24","38","18"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-03",,,"27","40","17"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-04",,,"32","45","22"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-05",,,"24","27","20"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-06",,,"21","29","14"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-07",,,"19","33","12"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-08",,,"20","25","13"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-09",,,"20","25","13"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-10",,,"15","31","7"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-11",,,"16","28","8"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-12",,,"12","17","7"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-13",,,"14","26","9"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-14",,,"19","22","13"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-15",,,"17","21","15"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-16",,,"15","26","13"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-17",,,"15","27","8"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-18",,,"14","20","8"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-19",,,"20","31","11"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-20",,,"25","39","14"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-21",,,"33","48","24"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-22",,,"35","56","25"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-23",,,"26","40","20"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-24",,,"24","29","20"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-25",,,"24","33","18"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-26",,,"26","28","23"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-27",,,"27","29","21"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-28",,,"20","31","12"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-29",,,"27","41","14"
"USR0000IMOD","MOODY IDAHO, ID US","2000-11-30",,,"25","29","20"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-01",,,"25","37","18"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-02",,,"28","39","23"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-03",,,"29","35","22"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-04",,,"31","42","24"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-05",,,"28","38","21"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-06",,,"28","41","20"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-07",,,"30","40","25"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-08",,,"28","37","23"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-09",,,"29","31","27"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-10",,,"19","27","15"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-11",,,"12","15","9"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-12",,,"16","31","9"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-13",,,"17","22","13"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-14",,,"24","27","22"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-15",,,"19","28","6"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-16",,,"14","21","3"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-17",,,"21","25","14"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-18",,,"15","24","9"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-19",,,"18","25","11"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-20",,,"14","24","7"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-21",,,"20","28","10"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-22",,,"26","28","23"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-23",,,"27","30","26"
"USR0000IMOD","MOODY IDAHO, ID US","2000-12-24",,,"26","27","22"
